gene_id,H1_HOCl,H2_HOCl,H3_HOCl,H4_HOCl,H1_No,H2_No,H3_No,H4_No,O1_HOCl,O2_HOCl,O3_HOCl,O4_HOCl,O1_No,O2_No,O3_No,O4_No
HVO_RS05410,61,81,11,13,157,102,205,140,6,14,8,25,247,80,130,276
HVO_RS05415,47,81,28,14,141,148,122,160,15,30,22,53,232,97,109,320
HVO_RS05420,20,11,5,0,92,125,58,91,1,9,3,2,65,65,86,116
HVO_RS05425,57,69,11,7,681,686,380,566,3,13,10,20,275,428,420,672
HVO_RS05430,22,20,10,8,83,93,64,62,4,2,4,18,43,71,74,131
HVO_RS05435,16,36,7,3,200,165,134,134,2,18,3,8,77,132,137,225
HVO_RS05440,42,52,33,21,298,229,180,218,13,21,17,30,130,202,175,275
HVO_RS05445,50,51,14,8,268,273,200,189,5,21,12,25,143,174,130,242
HVO_RS05450,61,90,14,5,268,229,162,186,1,35,3,13,140,205,153,306
HVO_RS05455,136,160,20,16,273,256,229,256,6,59,10,19,229,211,146,427
HVO_RS05460,7,10,2,1,30,22,22,36,3,7,2,0,37,20,30,169
HVO_RS05465,194,237,39,38,512,503,338,383,21,68,56,82,694,395,260,767
HVO_RS05470,21,32,12,3,40,35,32,39,1,18,6,3,53,32,19,93
HVO_RS05475,994,902,286,110,1745,1912,2847,3060,42,440,93,236,2684,1799,2406,5514
HVO_RS05480,158,152,42,12,81,68,146,216,14,55,18,45,146,66,225,691
HVO_RS05485,275,341,62,48,172,153,204,291,29,94,29,69,280,139,162,556
HVO_RS05490,406,617,107,51,1137,1136,1116,1096,34,172,75,88,1569,800,890,2458
HVO_RS05495,150,206,61,54,788,701,549,453,39,111,76,104,806,540,351,1373
HVO_RS05500,54,104,28,35,1654,1394,1742,1277,7,55,31,45,2062,1603,901,3264
HVO_RS05505,45,65,36,22,799,870,678,689,20,42,45,52,964,606,734,2151
HVO_RS05510,101,151,54,23,155,121,144,156,16,68,44,56,204,96,88,269
HVO_RS05515,127,228,37,15,297,320,199,199,16,77,20,46,288,226,98,407
HVO_RS05520,470,726,175,125,1062,949,907,980,65,250,101,197,1455,781,880,1750
HVO_RS05525,202,255,47,19,65,95,68,87,11,95,17,38,122,53,74,283
HVO_RS05530,938,1399,194,76,111,125,90,110,72,385,63,142,169,78,97,222
HVO_RS05535,388,605,56,17,161,178,197,160,11,125,28,47,375,105,184,421
HVO_RS05540,6810,10109,662,167,1854,1704,1447,1325,143,2260,158,496,2427,1625,1135,3194
HVO_RS05545,2,9,0,0,10,21,12,24,0,4,2,3,19,10,35,109
HVO_RS05550,91,130,45,55,261,282,218,254,31,84,74,98,380,223,164,428
HVO_RS05555,135,172,35,49,846,943,734,954,35,52,83,96,1454,764,676,1638
HVO_RS05560,353,494,101,74,780,702,1219,1127,39,126,55,139,1764,674,1129,2535
HVO_RS05565,141,194,33,20,158,129,156,164,24,70,33,34,238,140,105,300
HVO_RS05570,244,330,108,90,116,138,109,158,43,124,75,132,255,97,120,355
HVO_RS05575,215,270,57,39,280,260,454,367,15,72,44,56,445,342,301,733
HVO_RS05580,646,804,120,59,415,388,441,553,36,266,93,154,630,312,444,1206
HVO_RS05585,1750,2218,179,36,153,163,141,154,20,531,30,118,219,119,134,472
HVO_RS05590,77,80,25,25,52,33,82,225,15,26,24,44,103,64,191,518
HVO_RS05595,0,0,0,0,0,0,1,3,0,0,0,0,0,0,10,39
HVO_RS05600,151,177,71,43,388,408,496,533,49,89,95,119,736,405,454,1012
HVO_RS05605,348,512,126,65,419,442,400,440,63,177,73,123,834,429,367,824
HVO_RS05610,115,126,29,15,151,146,59,56,12,39,12,39,136,103,54,104
HVO_RS05615,266,354,103,40,135,136,84,93,48,121,38,75,167,108,66,199
HVO_RS05620,225,301,58,49,199,180,217,206,24,85,50,81,268,180,161,572
HVO_RS05625,704,1121,97,77,605,498,514,636,38,218,58,108,882,426,538,1242
HVO_RS05630,135,189,48,54,788,894,867,731,18,51,47,70,1283,911,607,1620
HVO_RS05635,5,8,1,1,8,10,22,17,0,7,0,3,23,7,30,85
HVO_RS05640,25,33,20,10,70,73,55,46,5,18,15,15,68,50,67,225
HVO_RS05650,247,319,75,48,287,237,318,286,31,91,64,100,435,219,249,734
HVO_RS05655,160,251,196,195,864,769,529,591,66,71,360,487,540,489,1036,3298
HVO_RS05660,126,192,67,67,197,215,144,174,38,74,72,130,323,149,117,317
HVO_RS05665,14450,17639,7259,140,529,698,467,763,91,474,69,5224,279,122,158,741
HVO_RS05670,1525,2213,763,128,1517,1520,1426,1366,79,341,101,657,1804,1335,922,2966
HVO_RS05675,344,478,54,24,74,75,63,61,6,99,19,46,88,91,55,232
HVO_RS05680,93,117,64,32,52,62,63,51,21,36,44,75,76,44,37,165
HVO_RS05685,9,9,6,1,0,2,1,2,2,4,9,6,0,2,1,25
HVO_RS05695,925,1194,201,146,8720,8319,2372,1262,60,328,120,238,4695,6966,874,4285
HVO_RS05700,76,130,35,21,58,54,42,55,7,50,11,32,60,43,34,106
HVO_RS05705,414,602,212,167,1180,1198,1298,1485,82,211,165,305,1643,1090,1289,2686
HVO_RS05710,251,368,79,41,196,227,200,266,19,43,54,76,373,147,207,516
HVO_RS05715,765,1087,116,45,3062,2909,2357,2540,19,82,42,88,4639,2491,1882,4979
HVO_RS05720,4090,5679,386,82,1048,1027,705,1050,22,164,47,263,1332,862,727,1539
HVO_RS05725,19182,25066,5750,388,2256,1778,3602,2197,62,1892,508,4206,2392,2542,1848,8229
HVO_RS05730,1766,1892,345,18,71,91,121,106,9,128,17,219,105,74,75,249
HVO_RS05735,2115,2261,329,41,1078,1468,869,1152,19,103,30,260,1538,1124,531,1839
HVO_RS05740,8793,11768,4654,3465,5617,6285,4204,3791,2541,6450,2810,5657,5274,5133,2780,9326
HVO_RS05745,2142,3057,937,748,50183,45054,8855,5346,367,1417,678,1516,18436,30641,3531,17355
HVO_RS05750,1070,1309,400,246,8419,8486,1670,1336,102,427,218,554,3574,4473,1026,4617
HVO_RS05755,91,126,24,6,65,50,28,27,7,41,10,21,60,46,32,35
HVO_RS05760,34,55,21,8,26,16,5,11,6,21,15,18,21,9,20,30
HVO_RS05765,68,81,33,21,31,47,42,52,6,22,24,19,60,40,39,99
HVO_RS05770,88,127,35,23,249,291,216,201,20,49,31,49,333,198,187,467
HVO_RS05775,619,798,126,79,582,667,758,873,42,261,88,162,1083,791,689,1586
HVO_RS05780,72,118,26,18,345,474,289,337,11,27,24,28,521,243,208,772
HVO_RS05785,31,19,4,6,26,20,32,27,3,9,4,4,48,20,39,91
HVO_RS05790,52,55,29,18,107,128,99,116,3,28,24,28,153,109,75,245
HVO_RS05795,37,45,5,15,53,52,62,21,7,17,17,15,74,67,37,121
HVO_RS05800,10,21,6,3,17,11,19,8,2,4,1,13,22,16,12,24
HVO_RS05805,66,95,15,5,27,30,34,27,10,37,10,20,40,29,12,51
HVO_RS05810,9495,12205,6767,8972,11336,12170,4343,9186,1827,5899,6221,23960,3289,5272,2682,13722
HVO_RS05815,89,101,50,44,214,227,138,176,47,49,61,103,238,170,129,330
HVO_RS05820,38,58,11,14,334,359,202,157,22,38,22,30,311,253,97,284
HVO_RS05825,91,105,25,20,144,141,150,186,7,36,13,22,234,135,140,328
HVO_RS05830,120,145,48,35,78,111,80,128,22,50,43,62,185,83,116,221
HVO_RS05835,2,0,0,0,0,6,2,3,0,1,0,2,12,0,8,20
HVO_RS05840,61,117,32,26,236,169,99,149,9,27,43,79,236,129,129,313
HVO_RS05845,114,151,32,45,761,732,139,136,11,46,26,38,693,464,102,297
HVO_RS05850,142,140,15,3,74,123,70,88,3,37,9,22,135,58,68,222
HVO_RS05855,52,68,31,21,22,47,47,50,24,25,14,27,95,37,27,92
HVO_RS05860,216,304,105,82,1080,1204,815,846,47,95,112,145,1543,934,657,2039
HVO_RS05865,102,139,36,32,220,230,239,255,14,38,28,47,345,197,201,503
HVO_RS05870,312,380,365,308,11614,14677,5924,8524,155,145,271,540,8730,11298,6271,10192
HVO_RS05875,207,261,57,50,584,507,768,891,23,93,37,91,727,282,684,1638
HVO_RS05880,121,143,25,24,210,199,252,222,24,65,25,47,397,184,174,479
HVO_RS05885,75,120,42,36,312,279,338,323,21,40,25,48,403,229,246,678
HVO_RS05890,66,58,23,26,146,141,153,210,9,31,8,31,234,111,174,465
HVO_RS05895,254,311,93,74,101,152,117,152,40,164,51,115,233,105,98,290
HVO_RS05900,286,367,68,33,288,303,182,232,19,143,41,69,454,277,184,587
HVO_RS05905,197,299,97,58,171,108,189,235,34,110,42,87,255,164,102,317
HVO_RS05910,12,9,9,0,8,4,1,4,0,4,1,8,8,3,8,15
HVO_RS05915,987,1228,287,128,187,265,293,455,138,442,97,287,514,195,354,871
HVO_RS05920,56,77,13,2,7,17,9,30,0,7,0,2,17,8,26,63
HVO_RS05925,188,252,29,12,56,49,46,65,5,20,10,25,107,35,66,163
HVO_RS05930,243,324,32,13,62,60,84,123,6,17,13,39,110,48,104,294
HVO_RS05935,107,121,15,8,7,12,8,17,3,9,1,22,33,12,17,46
HVO_RS05940,106,150,40,17,222,212,347,446,11,38,14,42,441,181,326,629
HVO_RS05945,12,10,7,2,37,26,24,38,1,1,7,4,38,13,39,116
HVO_RS05950,19,33,8,3,11,28,35,41,0,15,13,9,29,9,49,182
HVO_RS05955,32,32,31,19,42,23,55,79,9,21,8,37,38,35,42,121
HVO_RS05960,39,43,17,17,19,9,15,18,6,21,9,29,19,8,7,50
HVO_RS05965,24,17,18,3,38,32,25,53,7,9,5,28,57,27,57,60
HVO_RS05970,25,40,24,16,26,24,28,34,10,12,7,20,24,26,38,31
HVO_RS05975,49,45,13,7,25,11,12,17,6,16,13,27,26,24,23,54
HVO_RS05980,7,5,3,1,21,19,8,10,0,4,0,2,18,12,16,34
HVO_RS05985,9,12,2,0,4,2,8,12,0,1,0,2,11,2,4,16
HVO_RS05990,9,18,4,4,5,6,10,13,3,4,2,10,14,9,22,47
HVO_RS05995,0,4,0,3,0,2,0,0,3,2,0,5,0,1,6,11
HVO_RS06000,8,7,0,3,0,1,2,1,0,8,0,2,6,1,1,7
HVO_RS06005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS06010,0,3,2,0,0,0,0,2,0,1,0,0,0,1,1,1
HVO_RS06015,13,13,11,5,8,2,8,4,4,12,3,3,11,4,7,15
HVO_RS06020,1,3,1,1,3,3,0,1,4,2,0,0,9,3,8,1
HVO_RS06025,4,5,1,3,0,0,1,0,1,3,1,1,8,1,1,1
HVO_RS06030,19,18,12,2,4,7,5,5,9,7,0,4,12,7,5,11
HVO_RS06035,4,10,3,1,8,5,1,10,0,3,0,1,2,6,0,8
HVO_RS06040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HVO_RS06045,1,0,2,0,0,1,1,0,0,1,0,4,7,2,0,6
HVO_RS06050,8,4,0,0,0,0,1,0,0,3,1,0,0,0,0,0
HVO_RS06055,5,7,4,5,2,9,5,8,5,2,2,8,14,7,4,12
HVO_RS06060,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,4
HVO_RS06065,43,46,20,16,276,284,269,240,12,20,15,37,319,277,191,392
HVO_RS06070,145,143,83,49,528,591,577,576,31,85,52,89,667,506,504,1067
HVO_RS06075,33,53,21,9,145,170,107,152,11,14,5,19,118,140,96,260
HVO_RS06080,96,124,35,28,208,156,206,214,10,46,18,41,239,146,165,256
HVO_RS06085,90,131,30,18,26,32,27,31,12,56,17,42,43,27,25,53
HVO_RS06090,114,204,265,270,70,294,64,170,117,80,424,439,147,45,138,555
HVO_RS06095,82,106,50,40,73,60,88,91,19,50,25,49,99,66,72,143
HVO_RS06100,182,236,130,124,1321,1385,1326,1280,50,121,60,156,1264,1060,1136,2495
HVO_RS06105,2351,3189,1927,1457,8517,8246,8148,10501,837,2333,1455,2218,9114,5944,8029,23732
HVO_RS06110,5675,7279,4572,3633,13372,13597,13006,16702,1836,5585,3893,5489,14729,10081,13587,32415
HVO_RS06115,21,13,5,2,35,37,19,27,2,10,1,5,40,47,26,88
HVO_RS06120,44,70,26,15,72,71,75,100,4,25,6,21,106,69,72,155
HVO_RS06125,20,30,7,4,126,106,156,266,4,12,3,8,172,106,155,401
HVO_RS06130,83,86,28,31,405,573,384,449,7,27,34,44,409,423,318,928
HVO_RS06135,75,104,21,13,186,166,197,203,8,42,13,21,265,122,151,370
HVO_RS06140,434,564,68,25,1366,1336,1125,1189,29,174,30,76,1737,1047,910,2207
HVO_RS06145,17,41,8,19,31,45,38,42,2,11,13,8,52,38,34,111
HVO_RS06150,80,95,13,10,129,124,134,164,8,10,13,16,256,87,141,239
HVO_RS06155,57,82,59,41,123,128,104,107,32,45,54,73,169,126,104,243
HVO_RS06160,305,516,92,68,745,702,680,722,30,116,78,136,999,658,641,1485
HVO_RS06165,143,155,79,48,221,197,217,295,34,70,51,95,335,120,241,547
HVO_RS06170,67,109,69,67,256,324,122,264,18,83,55,94,304,240,192,279
HVO_RS06175,40,89,54,41,185,262,125,270,23,50,27,73,294,209,206,255
HVO_RS06180,50,72,35,35,461,422,447,453,20,33,45,52,700,369,318,779
HVO_RS06185,81,106,59,41,328,332,295,324,32,62,30,67,467,390,272,683
HVO_RS06190,17,42,14,11,25,31,17,42,6,13,14,14,39,19,14,79
HVO_RS06195,81,90,23,19,192,199,204,218,15,25,20,33,350,192,151,345
HVO_RS06200,52,68,29,28,540,564,442,641,22,35,43,38,856,529,742,1158
HVO_RS06205,206,262,200,270,1320,1425,1263,1719,152,210,274,380,2078,1457,1162,2358
HVO_RS06210,167,316,196,213,2128,2805,1549,3053,127,179,391,503,3629,1899,2485,7249
HVO_RS06215,54,68,56,36,439,439,503,770,30,40,75,79,879,418,624,977
HVO_RS06220,68,109,69,83,807,774,790,1106,53,57,113,145,1497,752,815,1149
HVO_RS06225,9,10,7,3,92,106,74,122,3,2,6,19,175,89,213,184
HVO_RS06230,280,398,329,259,1405,1532,1292,1847,195,232,317,524,2789,1575,1597,1736
HVO_RS06235,136,144,189,225,1739,1705,1346,2160,128,97,292,453,3212,1780,1490,1970
HVO_RS06240,151,230,78,67,472,451,332,317,31,100,84,102,493,385,248,739
HVO_RS06245,158,169,65,40,734,682,1031,900,20,98,33,64,1372,560,920,1893
HVO_RS06250,468,688,115,38,119,119,87,97,36,198,49,96,146,84,90,248
HVO_RS06255,973,1217,581,341,681,809,1006,1256,189,590,274,621,1431,668,936,2513
HVO_RS06260,357,531,224,241,4101,4269,3426,3608,163,281,264,349,4677,3751,2437,6115
HVO_RS06265,279,340,127,87,649,615,791,851,62,159,108,194,1016,576,713,1568
HVO_RS06270,2249,3139,230,63,2375,1657,3076,2974,33,598,92,207,3293,1273,2846,8006
HVO_RS06275,682,947,148,84,1857,1637,2481,2626,33,306,77,175,2422,1056,2163,6546
HVO_RS06280,360,523,108,37,298,307,578,705,22,153,31,103,466,184,578,1448
HVO_RS06285,518,609,213,141,2567,2050,7553,6140,67,314,131,246,4964,2594,4779,12342
HVO_RS06290,86,106,33,7,59,56,132,161,2,24,5,33,136,47,155,318
HVO_RS06295,176,236,79,57,288,376,142,323,24,127,43,91,327,308,193,435
HVO_RS06300,27,47,33,34,137,157,114,133,9,31,22,25,154,116,68,238
HVO_RS06305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS06310,26,24,4,8,177,144,311,385,4,6,11,23,432,130,240,693
HVO_RS06315,44,46,24,19,165,183,247,278,7,31,18,27,422,150,198,425
HVO_RS06320,125,140,56,31,142,155,133,181,18,74,37,60,206,105,117,303
HVO_RS06325,10099,16169,2191,96,744,890,402,585,52,158,223,1995,922,682,697,2068
HVO_RS06330,1890,2754,576,32,435,439,461,517,21,77,25,469,525,470,519,1213
HVO_RS06335,221,389,76,38,208,200,145,164,15,53,54,82,218,171,116,363
HVO_RS06340,33,39,12,3,17,11,6,7,0,8,2,2,18,12,13,32
HVO_RS06345,76,156,29,27,17,31,20,21,11,45,20,37,43,23,20,60
HVO_RS06350,3,5,1,3,9,10,2,17,1,2,8,5,17,5,10,41
HVO_RS06355,23,42,8,5,32,32,25,31,4,12,4,8,72,18,38,56
HVO_RS06360,12,6,2,1,10,13,9,12,2,3,6,5,14,11,6,30
HVO_RS06365,1,2,1,0,2,4,0,0,0,0,0,0,5,1,0,14
HVO_RS06370,309,348,47,11,91,75,84,104,13,84,21,42,121,69,209,372
HVO_RS06375,2969,3844,764,354,1264,1201,1749,2438,292,1177,336,827,2570,1333,2435,2258
HVO_RS06380,1284,1651,564,334,1628,1791,2502,3487,220,691,341,719,3363,1934,3118,3034
HVO_RS06385,2176,3285,1690,1112,3999,4412,4772,6895,739,1412,1518,2311,7108,4212,5721,7533
HVO_RS06390,348,520,280,225,1879,1766,1682,2457,183,404,289,462,2630,1834,2112,3107
HVO_RS06395,121,172,103,82,593,656,470,711,50,126,108,146,839,546,558,1066
HVO_RS06400,109,194,95,60,271,236,203,249,29,128,52,119,292,226,195,490
HVO_RS06405,576,785,378,220,1258,1361,1154,1537,161,513,271,599,1732,956,1350,3155
HVO_RS06410,1912,2621,1081,627,4016,4460,3507,4538,490,1463,783,1586,5078,3039,3432,8002
HVO_RS06415,1146,1476,199,60,244,197,450,244,34,494,49,155,265,256,188,900
HVO_RS06420,964,1248,819,759,7331,7753,8165,10372,485,654,1183,1773,12398,5794,9117,17398
HVO_RS06425,78,128,31,35,3327,2950,3987,3715,19,51,25,49,3928,2812,3672,7242
HVO_RS06430,173,241,101,79,6598,6594,8017,7331,64,100,92,156,7356,5955,5432,12133
HVO_RS06435,2229,2983,2664,2229,10721,10856,9575,13171,1621,1826,3192,5278,16571,10017,9895,17139
HVO_RS06440,1023,1496,1188,925,2979,3636,2308,3478,573,761,1576,2037,4199,2644,2778,5762
HVO_RS06445,10,10,0,2,4,8,10,13,0,4,0,3,7,1,16,23
HVO_RS06450,56,115,30,31,31,34,26,49,20,40,27,54,53,37,29,98
HVO_RS06455,48,45,11,19,12,10,22,16,7,20,7,35,32,15,17,44
HVO_RS06460,7,0,0,1,2,0,4,1,0,0,2,0,3,1,0,3
HVO_RS06465,5,4,1,0,1,0,3,2,0,1,0,0,5,1,3,5
HVO_RS06470,10,10,3,1,6,13,1,2,1,1,1,3,16,4,7,17
HVO_RS06475,11,21,10,7,30,17,6,21,3,7,6,11,47,26,23,38
HVO_RS06480,7,12,4,0,1,0,1,4,0,2,0,0,3,1,0,6
HVO_RS06485,3,6,10,11,2,7,7,6,3,5,15,17,15,4,24,43
HVO_RS06490,13,10,8,8,26,27,18,19,1,12,10,7,35,13,18,67
HVO_RS06495,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
HVO_RS06500,4,6,2,0,3,0,1,1,1,3,2,3,1,1,4,4
HVO_RS06505,12,8,5,2,4,2,6,2,0,3,0,9,6,5,3,5
HVO_RS06510,2,4,7,2,3,1,2,1,1,3,5,5,5,5,3,9
HVO_RS06515,15,16,12,4,6,3,5,8,1,9,0,3,27,1,1,19
HVO_RS06520,31,46,6,4,9,27,14,26,5,21,7,15,19,15,10,36
HVO_RS06525,321,317,86,35,256,216,343,354,31,124,23,83,284,236,275,399
HVO_RS06530,850,989,143,61,549,669,707,696,21,415,45,83,706,455,780,1346
HVO_RS06535,702,696,142,25,921,1023,945,867,15,349,20,53,1097,576,931,730
HVO_RS06540,141,221,143,79,36,31,50,82,70,126,105,186,38,30,108,287
HVO_RS06545,73,86,61,38,6,4,17,31,15,47,35,41,5,11,43,83
HVO_RS06550,37,50,34,29,6,8,8,23,18,21,34,17,11,17,30,49
HVO_RS06555,574,754,496,314,215,176,375,596,232,431,204,487,236,234,295,564
HVO_RS06560,78,88,42,25,281,265,330,333,6,37,46,65,569,216,347,1529
HVO_RS06565,68,86,25,13,1030,1052,1953,2427,8,27,8,21,1802,1063,2319,5648
HVO_RS06570,901,1010,220,116,1060,1195,1524,1977,63,358,118,180,1908,1184,1616,2544
HVO_RS06575,532,739,44,16,3954,4974,2535,2733,13,168,21,65,4283,2781,2642,8983
HVO_RS06580,63,103,64,47,204,215,212,240,34,53,63,121,271,182,190,466
HVO_RS06585,32,33,22,15,62,66,65,76,9,28,35,38,81,52,41,199
HVO_RS06590,26,48,30,32,884,1025,1347,1194,14,35,18,46,1673,654,1015,1597
HVO_RS06595,743,1003,200,106,1564,1347,2766,2510,73,345,131,187,2913,1648,2095,5102
HVO_RS06600,404,536,58,39,130,145,148,126,11,128,17,64,121,155,88,207
HVO_RS06605,365,493,93,42,152,150,93,110,33,135,52,94,157,134,86,225
HVO_RS06610,443,618,103,66,257,248,256,214,22,190,36,63,365,198,214,595
HVO_RS06615,542,781,151,97,370,385,380,414,65,236,83,152,509,293,320,971
HVO_RS06620,261,267,74,35,781,795,504,443,34,146,38,66,750,496,388,1085
HVO_RS06625,817,1202,176,109,799,837,897,686,77,281,126,210,911,761,713,1345
HVO_RS06630,642,821,212,173,1233,1346,1345,1619,91,341,100,306,1932,892,1198,1349
HVO_RS06635,931,1147,155,33,3042,3333,1456,840,40,466,78,127,2155,2889,675,4275
HVO_RS06640,664,837,111,48,1107,999,513,409,35,362,32,51,897,1004,334,1449
HVO_RS06645,289,414,94,66,864,798,845,702,50,144,43,80,874,739,529,1590
HVO_RS06655,1227,1767,332,181,880,885,796,925,122,670,142,267,1160,738,633,1851
HVO_RS06660,192,252,37,30,156,134,93,147,31,99,17,46,206,125,195,420
HVO_RS06665,282,408,104,66,400,404,349,397,38,175,54,84,600,470,293,993
HVO_RS06670,217,299,71,34,205,171,270,355,18,98,29,55,371,140,285,888
HVO_RS06685,50,96,40,11,53,62,62,56,5,31,11,27,50,35,90,216
HVO_RS06690,311,459,189,123,320,344,447,498,52,157,114,191,484,298,347,883
HVO_RS06695,20273,25009,7410,2386,3117,2856,3864,2615,859,8741,1462,6437,3178,2458,1728,7284
HVO_RS06700,1013,1286,587,270,696,721,709,712,185,597,206,573,951,729,485,1265
HVO_RS06705,184,207,21,10,144,152,207,285,6,55,3,36,254,179,251,544
HVO_RS06710,74,82,26,24,136,169,154,163,4,37,22,37,216,109,87,271
HVO_RS06715,323,366,253,261,8477,6830,1338,1186,97,174,266,448,4335,4600,661,2093
HVO_RS06720,1560,2100,530,295,2733,2612,1985,1831,191,734,322,589,2695,1842,1484,2868
HVO_RS06725,2338,3138,396,95,3213,3552,3529,3334,78,1002,94,296,4421,1743,2407,7670
HVO_RS06730,25,51,13,6,35,45,32,62,2,20,9,17,85,30,101,217
HVO_RS06735,680,860,200,100,599,522,918,1118,74,282,112,215,1352,645,893,1840
HVO_RS06740,375,486,132,51,112,129,105,127,40,185,64,101,160,89,89,300
HVO_RS06745,214,279,65,28,45,50,51,64,16,95,18,56,41,38,54,109
HVO_RS06750,756,981,215,81,202,192,160,179,66,344,55,215,268,179,131,426
HVO_RS06755,479,859,130,71,218,273,147,131,30,289,45,90,187,145,99,407
HVO_RS06760,783,992,219,111,938,950,1074,1035,68,415,106,188,1411,865,843,2971
HVO_RS06765,69,95,30,16,149,143,131,157,10,34,23,36,243,129,132,467
HVO_RS06770,75,119,49,26,120,114,175,193,11,56,31,56,198,100,134,378
HVO_RS06775,9,14,0,3,22,14,32,35,2,0,3,8,32,12,35,95
HVO_RS06780,358,461,141,127,5021,4818,3632,3398,63,196,137,171,5125,3877,2528,7063
HVO_RS06785,170,269,74,80,524,471,563,621,42,110,69,97,733,390,392,1220
HVO_RS06790,22,44,11,1,66,92,85,116,0,8,5,2,120,53,75,169
HVO_RS06795,87,140,61,36,114,140,194,231,20,62,60,83,259,140,214,599
HVO_RS06800,32,57,27,9,34,45,32,65,4,12,6,15,80,33,177,400
HVO_RS06805,4053,6224,466,219,825,1051,417,653,125,1306,315,512,880,711,609,2347
HVO_RS06810,63,102,12,15,25,48,23,35,2,16,18,50,42,20,47,255
HVO_RS06815,67,122,54,26,52,51,38,40,11,48,9,36,49,39,42,160
HVO_RS06820,485,678,244,118,294,301,246,253,95,295,93,223,342,265,191,687
HVO_RS06825,159,195,46,18,115,167,104,111,17,68,40,42,169,84,256,1327
HVO_RS06830,697,1135,195,80,433,372,391,344,60,366,68,135,654,284,426,1145
HVO_RS06835,1017,1429,240,77,376,360,445,411,48,427,59,168,566,289,355,862
HVO_RS06840,748,847,172,68,535,529,825,844,45,294,70,119,824,444,681,1192
HVO_RS06845,198,237,50,29,406,392,710,597,20,69,23,54,562,323,613,1090
HVO_RS06850,497,693,127,111,2879,2722,2978,2710,44,184,115,213,2943,2003,2501,5504
HVO_RS06855,509,772,202,112,982,998,1002,843,58,318,101,176,1253,921,797,2180
HVO_RS06860,547,712,147,98,1333,1442,1827,1903,43,269,36,169,2235,1312,1482,4218
HVO_RS06865,3164,4322,1214,656,6178,8107,1537,1389,419,2042,496,1178,3747,4624,715,3122
HVO_RS06870,375,418,258,191,174,189,115,107,117,229,93,257,180,155,80,263
HVO_RS06875,604,917,188,103,1442,1533,3039,2848,65,295,95,212,2187,1637,2389,6058
HVO_RS06880,614,1068,125,34,792,689,406,474,28,306,34,69,671,618,767,1881
HVO_RS06885,1556,2128,616,346,1705,1599,3014,2825,218,895,226,493,3330,1039,2755,9016
HVO_RS06890,4297,5869,2170,1016,3197,2950,4818,5353,654,2787,775,1698,4751,2405,4738,8627
HVO_RS06895,834,1079,335,119,681,814,980,915,60,440,52,167,1071,596,719,2028
HVO_RS06900,4477,6411,7799,9623,16459,19012,8958,8654,2483,5053,6544,13555,12020,16750,12740,28002
HVO_RS06905,30,26,34,23,5,33,18,5,11,11,39,61,12,7,24,75
HVO_RS06910,15,7,4,4,5,6,5,13,2,2,0,7,5,5,15,64
HVO_RS06915,91,180,82,67,625,604,484,439,43,96,47,83,655,476,441,1060
HVO_RS06920,60,91,30,29,383,381,122,141,6,42,21,41,316,373,120,683
HVO_RS06925,248,284,105,110,1936,1733,767,632,47,166,74,131,1647,2109,378,1359
HVO_RS06930,705,1047,193,161,5889,5446,3350,2304,77,423,125,257,6049,5431,1620,6785
HVO_RS06935,97,126,31,8,83,106,48,101,4,44,13,22,97,68,111,430
HVO_RS06940,908,1279,230,138,512,533,420,502,77,452,138,234,663,436,375,1118
HVO_RS06945,92,132,30,36,280,210,247,305,19,39,21,55,321,181,202,566
HVO_RS06950,133,211,82,75,650,612,384,565,60,85,61,109,827,453,465,703
HVO_RS06955,261,358,85,61,363,412,370,389,30,146,80,95,463,325,297,978
HVO_RS06960,18,23,5,5,24,63,30,45,3,16,7,13,48,21,37,127
HVO_RS06965,62,106,12,12,160,126,198,174,7,30,12,29,235,114,154,349
HVO_RS06970,88,135,53,24,143,146,209,197,13,57,38,64,224,104,154,364
HVO_RS06975,132,178,65,44,159,151,84,126,19,60,33,76,84,99,79,220
HVO_RS06980,221,326,119,75,135,189,25,29,37,179,86,115,88,132,30,108
HVO_RS06985,22,25,4,3,6,10,11,13,0,2,0,1,13,5,28,32
HVO_RS06990,250,394,61,43,350,324,249,305,33,126,41,69,448,281,170,582
HVO_RS06995,59,103,19,17,115,75,97,106,12,30,12,31,145,69,62,137
HVO_RS07000,228,300,121,87,219,231,192,245,75,138,108,174,333,183,234,505
HVO_RS07005,143,215,82,51,522,432,445,518,39,92,63,75,574,321,406,933
HVO_RS07010,404,567,194,158,1064,1033,1171,1822,85,214,156,190,2637,997,1212,2086
HVO_RS07015,257,321,78,42,232,208,216,162,25,111,27,47,309,187,154,440
HVO_RS07020,82,120,27,9,31,30,19,25,4,23,3,18,28,22,25,94
HVO_RS07025,1207,1396,503,257,572,506,637,480,159,712,166,347,669,511,341,1469
HVO_RS07030,13090,16414,3444,1082,7177,8430,5184,2920,733,6031,870,1715,6022,7961,2166,12210
HVO_RS07035,99,100,21,22,540,567,1097,957,5,25,27,29,777,491,922,3962
