gene_id,H1_HOCl,H2_HOCl,H3_HOCl,H4_HOCl,H1_No,H2_No,H3_No,H4_No,O1_HOCl,O2_HOCl,O3_HOCl,O4_HOCl,O1_No,O2_No,O3_No,O4_No
HVO_RS03130,588,848,485,407,109,126,132,118,129,466,264,543,132,86,106,295
HVO_RS03135,67,90,75,48,23,26,25,25,22,60,39,67,45,15,42,92
HVO_RS03140,31,41,26,20,8,16,11,23,11,13,18,29,17,4,17,30
HVO_RS03145,61,77,19,13,195,232,238,257,17,35,10,16,317,195,240,401
HVO_RS03150,11,23,7,0,2,4,3,4,4,3,1,1,18,3,5,10
HVO_RS03155,202,273,90,44,60,65,115,85,34,118,37,68,72,53,86,177
HVO_RS03160,44,53,30,20,52,60,74,54,8,31,9,4,78,34,29,82
HVO_RS03165,20,27,11,3,56,35,37,36,1,11,5,3,53,40,26,23
HVO_RS03170,9,16,6,3,13,10,12,23,4,3,1,7,21,8,13,10
HVO_RS03175,208,300,63,19,88,57,148,103,13,92,21,51,120,52,92,221
HVO_RS03180,226,260,57,13,32,13,80,51,18,78,16,30,51,14,23,69
HVO_RS03185,150,265,51,17,43,28,51,33,12,88,15,45,29,18,30,95
HVO_RS03190,69,92,89,61,210,254,103,192,19,46,36,70,136,154,81,249
HVO_RS03195,102,98,40,25,46,41,113,65,3,27,16,34,92,41,45,127
HVO_RS03200,2756,3393,1210,640,791,822,886,493,189,1242,289,991,1110,622,282,989
HVO_RS03205,199,246,76,22,63,55,132,113,21,81,18,34,144,47,76,214
HVO_RS03210,425,556,184,109,65,79,75,53,53,267,63,190,67,64,28,139
HVO_RS03215,175,281,77,50,77,76,112,82,18,117,33,68,113,52,66,195
HVO_RS03220,215,336,202,244,217,217,348,188,88,163,196,247,253,207,162,819
HVO_RS03225,904,1215,323,137,129,105,218,145,67,543,72,244,202,92,101,382
HVO_RS03230,333,454,93,48,236,299,287,197,22,170,29,77,384,183,158,397
HVO_RS03240,9,15,10,6,7,17,10,8,5,9,1,9,27,15,8,29
HVO_RS03245,35,49,21,14,120,88,105,107,8,29,18,22,146,76,45,157
HVO_RS03250,92,125,45,18,550,608,352,244,12,58,10,34,417,355,176,590
HVO_RS03255,2,3,0,0,6,5,3,0,0,0,0,0,3,2,0,7
HVO_RS03260,109,92,31,11,119,103,73,47,6,29,11,13,73,95,39,55
HVO_RS03265,18,26,8,0,24,39,18,16,0,8,2,0,17,18,13,27
HVO_RS03270,82,132,31,14,516,539,462,478,9,40,19,35,553,365,349,1287
HVO_RS03275,91,141,39,31,976,1181,888,1140,13,53,55,56,973,680,1206,4408
HVO_RS03280,5,3,0,0,50,66,61,92,0,3,1,1,96,40,116,420
HVO_RS03285,320,402,158,141,1804,1884,2342,3718,27,163,98,263,1749,1424,2164,6800
HVO_RS03290,16,19,13,8,17,28,13,27,5,7,14,20,18,8,28,48
HVO_RS03295,12,10,6,1,16,11,19,33,0,2,6,11,27,16,11,48
HVO_RS03300,4,10,10,7,49,44,32,58,7,9,5,7,52,26,31,109
HVO_RS03305,9,18,2,12,30,22,43,37,1,4,10,7,43,30,29,114
HVO_RS03310,9,5,22,16,2,4,3,5,12,11,7,9,2,1,1,6
HVO_RS03315,462,557,490,286,155,148,195,260,203,443,167,434,279,140,205,239
HVO_RS03320,30,50,25,6,86,75,173,180,4,19,14,17,164,114,137,340
HVO_RS03325,93,125,39,25,73,73,92,92,15,56,13,20,104,63,76,249
HVO_RS03330,14,7,12,0,14,19,13,26,3,11,2,9,20,13,19,32
HVO_RS03335,692,835,433,162,280,430,691,706,137,471,125,329,475,411,606,1402
HVO_RS03340,85,74,28,14,28,27,36,53,7,43,9,32,46,28,38,47
HVO_RS03345,53,67,34,11,357,335,161,142,12,24,17,35,304,232,139,217
HVO_RS03350,6,6,4,0,17,29,1,12,0,2,0,1,12,5,11,62
HVO_RS03355,46,95,47,41,126,151,152,127,9,45,26,53,171,74,133,368
HVO_RS03360,50,54,47,51,146,154,112,111,6,18,31,42,233,157,110,228
HVO_RS03365,5,14,18,10,28,22,15,25,4,2,6,15,48,28,21,45
HVO_RS03370,22,28,26,40,64,59,92,63,5,24,42,35,99,62,54,117
HVO_RS03375,185,221,205,97,197,191,308,284,33,126,58,154,326,216,228,435
HVO_RS03380,23,44,16,26,16,18,39,36,10,21,14,28,37,19,37,95
